Umur,Jenis Kelamin,Saya sudah berlangganan Netflix selama .......,Rekomendasi tontonan di Netflix ....... dengan kebiasaan menonton saya.,Saya merasa Netflix memberikan pengalaman menonton yang ....... dengan selera saya.,Netflix ....... dalam menyarankan tayangan yang saya sukai berdasarkan riwayat tontonan.,Netflix dapat dengan ....... terhubung ke berbagai perangkat (seperti TV atau HP).,Saya dapat melanjutkan menonton di perangkat lain dengan kenyamanan ....... karena riwayat tontonan langsung tersinkronisasi.,Notifikasi atau saran tontonan dari Netflix ....... dengan selera saya.,Iklan atau promosi Netflix membuat saya ....... untuk berlangganan atau menonton film baru,Promosi melalui email atau notifikasi ....... saya untuk terus menggunakan layanan Netflix.,Saya ....... tayangan baru dari situs atau iklan daring Netflix.,Saya ....... promosi atau konten baru Netflix dari media sosial seperti Instagram atau TikTok.,Jam,Tanggal,JamMenit
1,0,3,3,3,2,4,4,1,2,1,2,1,23,2025-05-16,23:24
1,0,0,1,2,4,1,2,3,2,2,2,2,23,2025-05-16,23:27
1,0,3,4,3,3,3,4,4,4,3,4,3,23,2025-05-16,23:27
1,1,0,4,3,4,2,3,3,4,3,4,3,23,2025-05-16,23:33
1,1,1,4,4,4,4,4,4,4,4,4,4,23,2025-05-16,23:38
1,1,3,3,3,3,3,3,3,3,4,4,4,23,2025-05-16,23:49
1,0,3,4,4,4,4,4,4,4,4,4,4,23,2025-05-16,23:50
1,1,2,4,4,4,4,3,4,2,2,2,2,0,2025-05-17,00:00
1,1,1,4,4,4,4,4,4,4,4,4,4,0,2025-05-17,00:05
1,0,0,3,3,3,4,4,2,2,1,2,3,0,2025-05-17,00:24
1,0,0,2,3,2,2,2,2,2,2,2,2,0,2025-05-17,00:45
0,0,3,4,4,4,4,4,4,4,4,3,4,5,2025-05-17,05:52
1,1,0,3,2,2,4,4,2,2,2,2,2,6,2025-05-17,06:11
0,0,1,3,3,3,3,3,3,2,1,2,2,7,2025-05-17,07:58
1,0,3,3,3,3,4,4,4,3,2,2,3,8,2025-05-17,08:13
1,1,2,3,3,4,4,4,2,4,2,2,4,8,2025-05-17,08:26
1,0,0,1,1,4,1,2,1,1,1,1,1,8,2025-05-17,08:57
1,0,0,3,2,3,3,3,3,3,3,3,3,10,2025-05-17,10:11
1,0,3,3,3,4,3,4,4,4,3,3,4,10,2025-05-17,10:34
1,1,3,3,3,3,3,3,2,2,2,2,3,10,2025-05-17,10:35
1,1,0,1,1,1,1,1,1,4,1,1,1,10,2025-05-17,10:38
1,0,0,3,4,2,4,4,4,4,4,4,4,10,2025-05-17,10:48
1,1,0,3,3,3,4,3,3,3,2,3,3,10,2025-05-17,10:56
1,1,3,3,3,4,4,4,4,4,4,3,4,10,2025-05-17,10:58
1,1,0,3,3,3,4,3,2,1,1,3,2,10,2025-05-17,10:59
1,1,0,3,3,3,3,3,3,3,2,2,2,11,2025-05-17,11:00
1,1,0,4,4,4,4,4,4,4,1,1,3,11,2025-05-17,11:00
1,1,2,4,4,3,4,4,3,3,4,4,4,11,2025-05-17,11:00
1,1,0,3,3,3,4,3,3,2,3,2,3,11,2025-05-17,11:01
1,0,3,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:06
1,0,0,3,3,3,4,4,3,3,3,2,3,11,2025-05-17,11:07
1,0,0,2,2,2,2,2,2,2,2,2,2,11,2025-05-17,11:09
1,1,0,2,3,3,3,2,3,3,3,3,3,11,2025-05-17,11:12
1,1,0,3,3,3,3,3,3,3,2,3,3,11,2025-05-17,11:13
1,1,3,3,4,4,4,4,3,3,4,4,4,11,2025-05-17,11:14
1,1,0,4,3,3,4,4,3,3,3,2,2,11,2025-05-17,11:14
1,0,3,3,3,3,4,4,4,4,2,4,4,11,2025-05-17,11:15
1,0,0,3,3,3,3,3,3,3,3,2,3,11,2025-05-17,11:15
1,1,2,3,4,3,4,4,3,3,4,3,3,11,2025-05-17,11:15
1,1,3,3,3,3,4,3,3,3,3,3,3,11,2025-05-17,11:19
1,0,0,3,3,3,3,4,3,3,2,2,2,11,2025-05-17,11:21
1,1,0,4,4,2,4,3,3,3,3,3,3,11,2025-05-17,11:21
1,0,0,2,2,2,2,2,2,2,2,2,2,11,2025-05-17,11:21
1,1,3,4,4,4,4,4,4,4,3,4,3,11,2025-05-17,11:22
1,1,3,4,4,4,4,4,3,3,3,4,4,11,2025-05-17,11:22
1,0,0,2,3,3,3,3,2,2,2,2,2,11,2025-05-17,11:22
1,1,0,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:23
1,1,3,3,3,3,3,3,3,3,2,3,2,11,2025-05-17,11:23
1,1,2,4,4,4,4,4,4,4,3,4,3,11,2025-05-17,11:24
1,1,0,3,4,3,4,4,4,2,2,2,2,11,2025-05-17,11:25
1,1,1,3,3,3,4,3,3,3,2,3,3,11,2025-05-17,11:26
1,1,0,4,3,3,3,3,3,3,3,3,3,11,2025-05-17,11:31
1,1,2,3,4,3,4,4,3,2,2,3,2,11,2025-05-17,11:31
1,0,1,4,4,4,4,4,4,1,1,1,1,11,2025-05-17,11:33
2,0,0,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:34
1,1,2,4,4,3,3,3,3,2,3,1,3,11,2025-05-17,11:35
1,1,3,4,4,4,4,4,2,2,1,3,4,11,2025-05-17,11:37
1,1,0,3,4,4,2,3,3,4,3,3,4,11,2025-05-17,11:38
1,0,0,3,4,3,4,4,3,3,1,2,4,11,2025-05-17,11:41
1,0,0,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:51
1,0,0,3,4,2,3,3,3,2,3,2,3,11,2025-05-17,11:53
1,1,0,3,4,3,3,4,3,3,1,3,3,12,2025-05-17,12:01
1,1,3,4,4,4,4,4,4,4,4,4,4,12,2025-05-17,12:03
1,1,3,2,3,4,4,4,2,3,2,3,2,12,2025-05-17,12:04
1,0,1,3,3,3,3,3,2,3,2,3,3,12,2025-05-17,12:04
1,1,3,3,4,2,3,3,3,3,3,3,3,12,2025-05-17,12:05
0,0,3,2,1,4,4,4,3,3,2,3,4,12,2025-05-17,12:05
1,1,2,2,3,3,3,3,3,3,3,3,3,12,2025-05-17,12:06
0,0,0,3,3,4,4,4,3,3,2,4,4,12,2025-05-17,12:10
1,1,0,3,3,3,4,3,3,3,3,3,3,12,2025-05-17,12:12
2,0,3,4,4,2,4,3,2,4,1,3,2,12,2025-05-17,12:12
0,1,0,4,4,3,3,4,3,4,3,4,4,12,2025-05-17,12:16
1,1,1,4,4,3,4,4,2,3,1,3,3,12,2025-05-17,12:17
1,0,0,1,3,3,3,3,3,1,1,1,1,12,2025-05-17,12:20
1,0,0,3,3,3,3,3,3,2,2,2,2,12,2025-05-17,12:20
1,1,0,3,3,3,4,3,3,4,3,3,3,12,2025-05-17,12:27
1,1,1,3,4,3,4,3,4,4,2,3,3,12,2025-05-17,12:31
0,0,1,1,2,3,3,3,2,2,3,2,1,12,2025-05-17,12:33
1,0,2,3,3,3,4,4,2,2,2,3,3,12,2025-05-17,12:36
2,1,2,4,4,4,4,4,4,3,2,4,4,12,2025-05-17,12:39
1,1,3,4,4,2,3,3,3,3,1,1,1,12,2025-05-17,12:41
1,0,1,3,4,4,4,4,2,3,2,3,3,12,2025-05-17,12:43
1,1,0,3,3,2,3,3,2,2,2,2,3,12,2025-05-17,12:47
1,0,3,4,4,4,4,4,4,4,4,4,4,12,2025-05-17,12:49
1,0,0,3,3,3,4,3,1,2,1,2,1,12,2025-05-17,12:54
1,0,0,3,3,4,3,4,4,3,2,3,3,12,2025-05-17,12:58
1,0,3,4,4,3,4,3,3,4,4,3,3,13,2025-05-17,13:01
1,1,3,3,3,3,4,4,3,3,2,2,4,13,2025-05-17,13:06
2,0,3,4,4,4,4,4,3,3,2,3,3,13,2025-05-17,13:06
1,1,0,3,3,3,3,3,2,2,1,2,3,13,2025-05-17,13:08
2,1,3,3,3,3,3,3,2,2,1,1,2,13,2025-05-17,13:11
2,0,3,2,2,2,3,3,2,1,1,2,2,13,2025-05-17,13:12
2,1,0,2,3,3,3,3,3,3,3,3,3,13,2025-05-17,13:16
1,1,0,4,4,3,3,4,3,4,3,3,4,13,2025-05-17,13:16
1,0,0,4,3,4,3,4,4,3,3,3,3,13,2025-05-17,13:18
1,1,3,3,3,3,4,3,3,1,2,1,3,13,2025-05-17,13:20
2,1,3,3,3,4,4,4,3,3,3,4,2,13,2025-05-17,13:36
0,0,0,2,3,3,4,4,3,2,1,4,3,14,2025-05-17,14:04
1,1,3,4,4,4,4,4,4,3,3,3,3,14,2025-05-17,14:33
0,1,1,3,3,4,3,4,2,2,2,2,2,14,2025-05-17,14:36
0,1,0,3,3,3,3,4,3,3,3,3,3,14,2025-05-17,14:38
1,1,0,3,3,3,3,4,3,2,2,2,2,14,2025-05-17,14:39
1,1,1,3,3,3,3,3,3,3,2,3,3,14,2025-05-17,14:41
0,1,1,3,3,3,4,4,3,3,2,2,3,15,2025-05-17,15:27
1,0,0,3,3,3,4,4,3,1,1,2,1,15,2025-05-17,15:35
1,1,1,3,3,3,3,2,3,2,2,3,3,15,2025-05-17,15:37
0,1,3,3,3,4,4,4,4,3,2,2,3,16,2025-05-17,16:18
1,1,2,4,4,4,3,3,4,4,2,3,4,16,2025-05-17,16:27
0,0,3,3,4,4,3,3,4,3,4,4,4,18,2025-05-17,18:00
1,1,3,4,4,4,3,4,4,4,4,4,4,19,2025-05-17,19:37
1,1,0,2,3,2,3,2,3,2,2,3,2,19,2025-05-17,19:51
1,1,0,3,3,4,3,3,3,2,2,2,3,19,2025-05-17,19:52
